=== Computing metrics from saved activations ===
--- pythia-14m ---
Computing metrics for 58/58 steps using 18 workers...
  Step 256: rankme=6.975, alpha=1.975, r2_100=0.999
  Step 128: rankme=4.367, alpha=1.336, r2_100=0.936
  Step 99000: rankme=79.615, alpha=0.708, r2_100=0.976
  Step 70000: rankme=73.732, alpha=0.769, r2_100=0.966
  Step 41000: rankme=55.682, alpha=0.852, r2_100=0.991
  Step 32000: rankme=54.783, alpha=0.866, r2_100=0.993
  Step 3000: rankme=53.901, alpha=0.874, r2_100=0.992
  Step 119000: rankme=79.801, alpha=0.702, r2_100=0.977
  Step 131000: rankme=80.846, alpha=0.703, r2_100=0.979
  Step 82000: rankme=79.328, alpha=0.733, r2_100=0.973
  Step 6000: rankme=57.893, alpha=0.837, r2_100=0.988
  Step 16: rankme=40.842, alpha=1.584, r2_100=0.964
  Step 0: rankme=40.720, alpha=1.582, r2_100=0.964
  Step 87000: rankme=78.604, alpha=0.749, r2_100=0.971
  Step 125000: rankme=79.710, alpha=0.708, r2_100=0.982
  Step 76000: rankme=75.616, alpha=0.750, r2_100=0.971
  Step 64000: rankme=65.043, alpha=0.840, r2_100=0.964
  Step 96000: rankme=79.006, alpha=0.717, r2_100=0.975
  Step 58000: rankme=58.032, alpha=0.927, r2_100=0.987
  Step 111000: rankme=79.832, alpha=0.707, r2_100=0.978
  Step 44000: rankme=55.020, alpha=0.888, r2_100=0.989
  Step 122000: rankme=80.390, alpha=0.709, r2_100=0.978
  Step 143000: rankme=80.035, alpha=0.715, r2_100=0.981
  Step 61000: rankme=63.544, alpha=0.932, r2_100=0.972
  Step 128000: rankme=80.212, alpha=0.709, r2_100=0.982
  Step 35000: rankme=56.190, alpha=0.865, r2_100=0.992
  Step 85000: rankme=79.088, alpha=0.726, r2_100=0.979
  Step 79000: rankme=77.575, alpha=0.728, r2_100=0.974
  Step 73000: rankme=75.135, alpha=0.746, r2_100=0.969
  Step 90000: rankme=78.141, alpha=0.730, r2_100=0.979
  Step 140000: rankme=80.037, alpha=0.700, r2_100=0.982
  Step 114000: rankme=79.643, alpha=0.717, r2_100=0.981
  Step 47000: rankme=56.054, alpha=0.885, r2_100=0.988
  Step 12000: rankme=58.724, alpha=0.826, r2_100=0.982
  Step 64: rankme=23.477, alpha=1.600, r2_100=0.941
  Step 116000: rankme=80.142, alpha=0.704, r2_100=0.978
  Step 93000: rankme=78.635, alpha=0.733, r2_100=0.976
  Step 38000: rankme=54.604, alpha=0.875, r2_100=0.994
  Step 29000: rankme=53.026, alpha=0.872, r2_100=0.992
  Step 134000: rankme=81.214, alpha=0.712, r2_100=0.978
  Step 50000: rankme=55.877, alpha=0.894, r2_100=0.988
  Step 53000: rankme=55.130, alpha=0.917, r2_100=0.988
  Step 8: rankme=40.743, alpha=1.582, r2_100=0.964
  Step 32: rankme=41.486, alpha=1.606, r2_100=0.961
  Step 102000: rankme=77.502, alpha=0.722, r2_100=0.978
  Step 137000: rankme=80.306, alpha=0.704, r2_100=0.980
  Step 27000: rankme=57.451, alpha=0.854, r2_100=0.980
  Step 24000: rankme=58.714, alpha=0.808, r2_100=0.977
  Step 108000: rankme=80.288, alpha=0.711, r2_100=0.980
  Step 18000: rankme=60.338, alpha=0.815, r2_100=0.981
  Step 15000: rankme=57.331, alpha=0.844, r2_100=0.978
  Step 512: rankme=18.982, alpha=1.725, r2_100=0.983
  Step 21000: rankme=58.611, alpha=0.819, r2_100=0.981
  Step 9000: rankme=57.786, alpha=0.838, r2_100=0.984
  Step 1000: rankme=36.598, alpha=1.343, r2_100=0.964
  Step 105000: rankme=79.445, alpha=0.720, r2_100=0.978
  Step 56000: rankme=55.259, alpha=0.941, r2_100=0.989
  Step 67000: rankme=69.844, alpha=0.811, r2_100=0.970
Saved 58 results to results/results_pythia-14m.npy
--- pythia-31m ---
Computing metrics for 58/58 steps using 18 workers...
  Step 82000: rankme=120.210, alpha=0.715, r2_100=0.999
  Step 32000: rankme=108.814, alpha=0.756, r2_100=0.999
  Step 0: rankme=50.335, alpha=1.095, r2_100=0.971
  Step 41000: rankme=100.799, alpha=0.761, r2_100=0.999
  Step 128: rankme=6.568, alpha=1.309, r2_100=0.989
  Step 6000: rankme=107.793, alpha=0.784, r2_100=0.999
  Step 131000: rankme=121.877, alpha=0.667, r2_100=0.999
  Step 125000: rankme=126.758, alpha=0.674, r2_100=0.999
  Step 3000: rankme=97.181, alpha=0.798, r2_100=0.999
  Step 87000: rankme=128.764, alpha=0.690, r2_100=0.999
  Step 70000: rankme=81.905, alpha=0.865, r2_100=0.999
  Step 119000: rankme=125.235, alpha=0.653, r2_100=0.998
  Step 99000: rankme=133.558, alpha=0.646, r2_100=0.999
  Step 16: rankme=52.464, alpha=1.098, r2_100=0.971
