=== Computing metrics from saved activations ===
--- pythia-14m ---
All 58 steps already have metrics in results/results_pythia-14m.npy
--- pythia-31m ---
All 58 steps already have metrics in results/results_pythia-31m.npy
--- pythia-70m ---
All 58 steps already have metrics in results/results_pythia-70m.npy
--- pythia-160m ---
All 58 steps already have metrics in results/results_pythia-160m.npy
--- pythia-160m-deduped ---
All 58 steps already have metrics in results/results_pythia-160m-deduped.npy
--- pythia-410m ---
All 58 steps already have metrics in results/results_pythia-410m.npy
--- pythia-410m-deduped ---
All 58 steps already have metrics in results/results_pythia-410m-deduped.npy
--- pythia-1b ---
All 58 steps already have metrics in results/results_pythia-1b.npy
--- pythia-1b-deduped ---
Computing metrics for 58/58 steps using 18 workers...
  Step 99000: rankme=156.380, alpha=0.858, r2_100=0.997
  Step 256: rankme=34.148, alpha=1.429, r2_100=0.999
  Step 6000: rankme=473.945, alpha=0.712, r2_100=0.999
  Step 0: rankme=172.017, alpha=0.718, r2_100=0.995
  Step 119000: rankme=150.489, alpha=0.897, r2_100=0.997
  Step 87000: rankme=165.372, alpha=0.840, r2_100=0.996
  Step 96000: rankme=154.987, alpha=0.857, r2_100=0.997
  Step 128: rankme=18.040, alpha=1.528, r2_100=0.999
  Step 32000: rankme=387.014, alpha=0.725, r2_100=0.999
  Step 16: rankme=130.125, alpha=0.751, r2_100=0.990
  Step 76000: rankme=185.809, alpha=0.817, r2_100=0.996
  Step 41000: rankme=320.758, alpha=0.740, r2_100=0.999
  Step 3000: rankme=372.613, alpha=0.748, r2_100=1.000
  Step 82000: rankme=178.841, alpha=0.827, r2_100=0.997
  Step 70000: rankme=204.288, alpha=0.804, r2_100=0.997
  Step 131000: rankme=146.713, alpha=0.912, r2_100=0.997
  Step 125000: rankme=148.405, alpha=0.910, r2_100=0.997
  Step 64000: rankme=215.431, alpha=0.796, r2_100=0.997
  Step 58000: rankme=238.806, alpha=0.795, r2_100=0.997
  Step 85000: rankme=173.998, alpha=0.832, r2_100=0.997
  Step 44000: rankme=292.559, alpha=0.752, r2_100=0.998
  Step 73000: rankme=194.774, alpha=0.815, r2_100=0.997
  Step 61000: rankme=226.356, alpha=0.791, r2_100=0.997
  Step 90000: rankme=166.130, alpha=0.839, r2_100=0.997
  Step 114000: rankme=152.160, alpha=0.892, r2_100=0.997
  Step 122000: rankme=145.572, alpha=0.903, r2_100=0.997
  Step 35000: rankme=343.845, alpha=0.730, r2_100=0.999
  Step 47000: rankme=264.253, alpha=0.771, r2_100=0.998
  Step 143000: rankme=144.250, alpha=0.924, r2_100=0.997
  Step 140000: rankme=145.857, alpha=0.920, r2_100=0.997
  Step 12000: rankme=530.154, alpha=0.710, r2_100=0.998
  Step 128000: rankme=147.255, alpha=0.912, r2_100=0.997
  Step 116000: rankme=151.290, alpha=0.898, r2_100=0.997
  Step 64: rankme=11.490, alpha=1.499, r2_100=0.981
  Step 111000: rankme=151.048, alpha=0.886, r2_100=0.997
  Step 79000: rankme=185.239, alpha=0.819, r2_100=0.997
