=== Running model: EleutherAI/pythia-160m (array task 3, batch_size 128) ===
EleutherAI/pythia-160m fineweb
Subsampled later checkpoints to 50
Total checkpoints: 58 (8 early + 50 later)
Loaded 2000 cached sequences from data/cache/filtered_texts_fineweb_2000.json
Processing 58 remaining checkpoints...
Step 0: rankme=92.964, alpha=0.722, r2_100=0.984
Step 8: rankme=99.053, alpha=0.721, r2_100=0.983
Step 16: rankme=98.980, alpha=0.713, r2_100=0.981
Warning: could not clean cache for step32: [Errno 2] No such file or directory: '/gpfs/work5/0/prjs1815/hf_cache/hub/models--EleutherAI--pythia-31m/refs/step128'
Step 32: rankme=17.113, alpha=0.718, r2_100=0.990
Step 64: rankme=9.238, alpha=1.347, r2_100=0.983
Step 128: rankme=15.832, alpha=1.622, r2_100=0.995
Step 256: rankme=24.687, alpha=1.460, r2_100=0.999
Step 512: rankme=67.914, alpha=1.157, r2_100=0.994
Step 1000: rankme=120.889, alpha=0.882, r2_100=0.997
Step 3000: rankme=200.772, alpha=0.733, r2_100=0.999
Step 6000: rankme=235.287, alpha=0.711, r2_100=0.999
Step 9000: rankme=242.289, alpha=0.707, r2_100=0.999
Step 12000: rankme=238.346, alpha=0.703, r2_100=0.999
Step 15000: rankme=238.050, alpha=0.710, r2_100=0.999
Step 18000: rankme=229.705, alpha=0.717, r2_100=0.998
Step 21000: rankme=228.290, alpha=0.713, r2_100=0.998
Step 24000: rankme=227.977, alpha=0.717, r2_100=0.998
Step 27000: rankme=221.217, alpha=0.731, r2_100=0.998
Step 29000: rankme=216.765, alpha=0.725, r2_100=0.998
Step 32000: rankme=223.452, alpha=0.726, r2_100=0.998
Step 35000: rankme=218.756, alpha=0.722, r2_100=0.998
Step 38000: rankme=211.016, alpha=0.732, r2_100=0.998
Step 41000: rankme=207.628, alpha=0.727, r2_100=0.999
Step 44000: rankme=215.839, alpha=0.732, r2_100=0.998
Step 47000: rankme=208.239, alpha=0.732, r2_100=0.997
Step 50000: rankme=208.667, alpha=0.736, r2_100=0.997
Step 53000: rankme=201.292, alpha=0.738, r2_100=0.997
Step 56000: rankme=204.725, alpha=0.741, r2_100=0.997
Step 58000: rankme=197.808, alpha=0.743, r2_100=0.997
Step 61000: rankme=197.370, alpha=0.742, r2_100=0.997
Step 64000: rankme=195.127, alpha=0.752, r2_100=0.997
Step 67000: rankme=185.060, alpha=0.755, r2_100=0.997
Step 70000: rankme=194.264, alpha=0.756, r2_100=0.997
Step 73000: rankme=183.497, alpha=0.759, r2_100=0.997
Step 76000: rankme=185.477, alpha=0.769, r2_100=0.997
Step 79000: rankme=177.544, alpha=0.769, r2_100=0.997
Step 82000: rankme=164.120, alpha=0.786, r2_100=0.996
Step 85000: rankme=170.748, alpha=0.786, r2_100=0.996
Step 87000: rankme=179.640, alpha=0.785, r2_100=0.997
Step 90000: rankme=201.850, alpha=0.773, r2_100=0.997
Step 93000: rankme=224.653, alpha=0.732, r2_100=0.996
Step 96000: rankme=237.985, alpha=0.714, r2_100=0.997
Step 99000: rankme=248.365, alpha=0.708, r2_100=0.998
Step 102000: rankme=247.702, alpha=0.672, r2_100=0.998
Step 105000: rankme=248.945, alpha=0.645, r2_100=0.999
Step 108000: rankme=256.755, alpha=0.652, r2_100=0.999
Step 111000: rankme=259.871, alpha=0.636, r2_100=0.999
Step 114000: rankme=249.455, alpha=0.643, r2_100=0.999
Step 116000: rankme=253.916, alpha=0.637, r2_100=0.999
Step 119000: rankme=250.768, alpha=0.638, r2_100=0.999
Step 122000: rankme=254.881, alpha=0.643, r2_100=0.999
Step 125000: rankme=253.137, alpha=0.633, r2_100=0.999
Step 128000: rankme=259.071, alpha=0.641, r2_100=0.999
Step 131000: rankme=260.325, alpha=0.642, r2_100=0.999
Step 134000: rankme=242.321, alpha=0.628, r2_100=0.999
Step 137000: rankme=273.799, alpha=0.628, r2_100=0.999
Warning: could not clean cache for step140000: [Errno 2] No such file or directory: '/gpfs/work5/0/prjs1815/hf_cache/hub/models--EleutherAI--pythia-410m/snapshots/3be0cf50e099cb44b4c828e63ae6a4035f380ddb'
Step 140000: rankme=254.913, alpha=0.645, r2_100=0.999
Step 143000: rankme=249.263, alpha=0.655, r2_100=0.999
Saving results to results/results_pythia-160m.npy
=== Done: EleutherAI/pythia-160m ===
