=== Running model: EleutherAI/pythia-2.8b (array task 9, batch_size 128) ===
EleutherAI/pythia-2.8b fineweb
Subsampled later checkpoints to 50
Total checkpoints: 58 (8 early + 50 later)
Loaded 2000 cached sequences from data/cache/filtered_texts_fineweb_2000.json
Processing 34 remaining checkpoints...
Step 47000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 50000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 53000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 56000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 58000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 61000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 64000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 67000: rankme=308.786, alpha=0.747, r2_100=0.995
Step 70000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 73000: rankme=302.754, alpha=0.758, r2_100=0.994
Step 76000: rankme=293.721, alpha=0.761, r2_100=0.994
Step 79000: rankme=289.348, alpha=0.766, r2_100=0.994
Step 82000: rankme=276.693, alpha=0.768, r2_100=0.994
Step 85000: rankme=274.423, alpha=0.776, r2_100=0.995
Step 87000: rankme=279.465, alpha=0.775, r2_100=0.995
Step 90000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 93000: rankme=266.742, alpha=0.794, r2_100=0.995
Step 96000: rankme=267.468, alpha=0.792, r2_100=0.994
Step 99000: rankme=261.973, alpha=0.807, r2_100=0.994
Step 102000: rankme=256.860, alpha=0.812, r2_100=0.994
Step 105000: rankme=255.324, alpha=0.815, r2_100=0.993
Step 108000: rankme=253.738, alpha=0.825, r2_100=0.994
Step 111000: rankme=247.880, alpha=0.833, r2_100=0.995
Step 114000: rankme=250.163, alpha=0.832, r2_100=0.994
Step 116000: rankme=246.435, alpha=0.841, r2_100=0.994
Step 119000: rankme=245.023, alpha=0.843, r2_100=0.994
Step 122000: rankme=241.427, alpha=0.850, r2_100=0.994
Step 125000: rankme=238.821, alpha=0.860, r2_100=0.994
Step 128000: rankme=240.706, alpha=0.858, r2_100=0.994
Step 131000: rankme=241.017, alpha=0.858, r2_100=0.994
Step 134000: rankme=236.317, alpha=0.863, r2_100=0.995
Step 137000: rankme=235.760, alpha=0.867, r2_100=0.995
Step 140000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 143000: rankme=230.464, alpha=0.877, r2_100=0.994
Saving results to results/results_pythia-2.8b.npy
=== Done: EleutherAI/pythia-2.8b ===
